职位名称,职位地址,薪资,学历经验要求,公司名称,公司信息,公司福利,详情页链接
Python 工程师,北京·海淀区·中关村,12-18K,1-3年本科,智慧星光,互联网A轮1000-9999人,全勤奖，通讯补贴，年终奖，交通补助，节日福利，员工旅游，五险一金，股票期权，加班补助，带薪年假，定期体检,https://www.zhipin.com/job_detail/86188f0694867fdb1nJy3d-5FlRY.html
python 后端高级工程师,北京·朝阳区·望京,25-35K·13薪,3-5年本科,魔镜市场情报,数据服务不需要融资100-499人,年终奖，带薪年假，员工旅游，抵制996，定期体检，零食下午茶，五险一金，股票期权，节日福利,https://www.zhipin.com/job_detail/0b010f0045eef8c31nx73di0F1tY.html
python 开发工程师 LM,北京·海淀区·车道沟,12-15K,3-5年大专,柯莱特集团,计算机软件已上市1000-9999人,五险一金，交通补助，节日福利,https://www.zhipin.com/job_detail/395b3e73289983aa1XZ609u1F1tW.html
Python 研发工程师,北京·海淀区·中关村,300-330元/天,4天/周6个月本科,NIO蔚来,汽车生产已上市10000人以上,带薪年假，通讯补贴，补充医疗保险，股票期权，年终奖，五险一金，定期体检，加班补助,https://www.zhipin.com/job_detail/f9ef8c891c9d8d941nxz0tS8E1tS.html
Python,北京·海淀区·上地,14-16K,1-3年大专,小塔,互联网天使轮20-99人,餐补，加班补助，年终奖，带薪年假，节日福利，五险一金，定期体检，员工旅游，零食下午茶,https://www.zhipin.com/job_detail/fe8fbd88abc869e81XZ62tS_ElFQ.html
Python,北京·海淀区·中关村,15-22K·14薪,3-5年本科,中科院自动化所,其他行业不需要融资1000-9999人,节日福利，定期体检，五险一金，带薪年假，通讯补贴，加班补助，交通补助，全勤奖，补充医疗保险，年终奖，餐补,https://www.zhipin.com/job_detail/b0458f9ac3f3606a1XR439u8EVJU.html
Python,北京·海淀区·西北旺,12-17K·13薪,1-3年本科,法本,计算机软件已上市10000人以上,定期体检，全勤奖，五险一金，加班补助，年终奖，节日福利，员工旅游，零食下午茶，企业文化，带薪年假,https://www.zhipin.com/job_detail/e675a8b2ce188f891Xd629u5E1pR.html
python开发,北京·海淀区·知春路,15-20K,3-5年本科,中电文思海辉,计算机软件不需要融资10000人以上,五险一金，补充医疗保险,https://www.zhipin.com/job_detail/540f3c50e84db0c61n1_0tW5EFNQ.html
Python,北京·海淀区·中关村,28-50K·18薪,经验不限本科,北京渤鸣投资,投资/融资0-20人,,https://www.zhipin.com/job_detail/415d546699a6611e1XV809q4FFRQ.html
python工程师,北京·海淀区·白石桥,10-15K·13薪,3-5年本科,数智创新,计算机软件不需要融资20-99人,加班补助，节日福利，五险一金，大牛带队，定期体检，包吃，年终奖，餐补,https://www.zhipin.com/job_detail/3958f6b6361de7111XV-3N60ElFV.html
Python工程师,北京·朝阳区·国贸,20-40K,经验不限本科,兔大满科技,互联网金融未融资100-499人,晋升，年底分红，节日福利，餐补，出国游，零食下午茶，五险一金,https://www.zhipin.com/job_detail/1efffe1fe0ad9eef1XR73dW_EVZS.html
python开发,北京·昌平区·沙河,12-15K,3-5年本科,同方鼎欣,计算机软件已上市1000-9999人,定期体检，五险一金，补充医疗保险，五险一金，节日福利，带薪年假,https://www.zhipin.com/job_detail/6680199227e9d3391nx529--FVBU.html
python数据分析,北京·顺义区·后沙峪,10-15K,经验不限学历不限,锐亚教育,在线教育不需要融资100-499人,定期体检，股票期权，全勤奖，补充医疗保险，年终奖，五险一金,https://www.zhipin.com/job_detail/87cfa61f578d14541nx83di-GFNS.html
python实习生（RPA）,北京·丰台区·角门,180-300元/天,5天/周6个月大专,点点智联,通信/网络设备未融资20-99人,带薪年假，节日福利，五险，带薪培训，年终奖，定期体检，每年多次调薪,https://www.zhipin.com/job_detail/0e3f99b881782c541XR43dm6GFNS.html
Python开发工程师,北京·石景山区·古城,8-13K,1-3年大专,天璟服务,计算机软件未融资20-99人,年终奖，员工旅游，五险一金，股票期权，加班补助，餐补,https://www.zhipin.com/job_detail/ca065b2358a833dd1n1z3Nu-FVpY.html
python开发工程师,北京·昌平区·回龙观,20-35K·14薪,3-5年本科,零犀科技,计算机软件C轮100-499人,股票期权，零食下午茶，节日福利，交通补助，年终奖，带薪年假，五险一金,https://www.zhipin.com/job_detail/5e91bf683932a7f91nJ409S_GVpV.html
Python爬虫工程师,北京·海淀区·中关村,9-14K,1-3年大专,中科全安,信息安全未融资100-499人,节日福利，年终奖，定期体检，五险一金，带薪年假，加班补助,https://www.zhipin.com/job_detail/661eb486e38263b61XV53di0FlRX.html
Python开发（实习生）,北京·海淀区·中关村,240-250元/天,5天/周6个月本科,慧博云通,计算机软件B轮1000-9999人,带薪年假，五险一金，节日福利，补充医疗保险，加班补助，年终奖，股票期权，定期体检,https://www.zhipin.com/job_detail/d5fff762a7536ed91XZ-0t--FltW.html
Python开发工程师,北京,20-25K,3-5年大专,北京天域盛业,智能硬件20-99人,,https://www.zhipin.com/job_detail/5712f6ddcaa8a0591XZ62di-GVRY.html
Python开发工程师,北京·海淀区·西北旺,12-24K,经验不限本科,软通动力信息技术集团,计算机软件已上市10000人以上,定期体检，节日福利，交通补助，加班补助，带薪年假，免费班车，包吃，员工旅游，年终奖，餐补，零食下午茶，全勤奖，五险一金，通讯补贴，补充医疗保险,https://www.zhipin.com/job_detail/afb6a00b5f3b9a8d1XZ80ty_EFRY.html
Python开发工程师,北京·海淀区·苏州街,15-25K,3-5年本科,大恒科技,其他行业已上市1000-9999人,节日福利，员工旅游，补充医疗保险，五险一金，带薪年假，餐补，通讯补贴，交通补助，定期体检，年终奖,https://www.zhipin.com/job_detail/20a40642135133261XZ73tS4GFpQ.html
Python开发工程师,北京·海淀区·上地,10-15K·13薪,1-3年本科,中科助腾,计算机软件不需要融资100-499人,五险一金，年终奖，股票期权，通讯补贴，定期体检，交通补助，零食下午茶，节日福利，加班补助,https://www.zhipin.com/job_detail/5288a17b45ac735d1nBz2d20F1tQ.html
Python开发工程师,北京·朝阳区·安贞,15-25K·13薪,3-5年本科,众趣科技,互联网B轮100-499人,员工旅游，补充医疗保险，餐补，交通补助，通讯补贴，看电影，年终奖，五险一金，零食下午茶，茶话会，定期体检，带薪年假，部门聚餐，节日福利,https://www.zhipin.com/job_detail/9e12a8eb650223fc1nF92tu8GFNX.html
python工程师,北京·海淀区·中关村,15-25K·14薪,经验不限本科,中科微澜科技,信息安全天使轮20-99人,员工旅游，股票期权，节日福利，带薪年假，五险一金,https://www.zhipin.com/job_detail/d9b3e0f71fd834fd1nJ-2d65FVtY.html
Python开发工程师,北京,9-14K,1-3年本科,珠海深译信息有限...,移动互联网A轮20-99人,员工旅游，有无线网，住房补贴，交通补助，零食下午茶，餐补，节日福利，通讯补贴，绩效奖金，年终奖，带薪年假，五险一金,https://www.zhipin.com/job_detail/8813a49503cbac8b1nF53dW_EVZY.html
python工程师,北京·朝阳区·大望路,25-35K·17薪,经验不限本科,险峰长青投资咨询,基金未融资20-99人,餐补，定期体检，零食下午茶，员工旅游，通讯补贴，补充医疗保险，节日福利，五险一金，股票期权，年终奖，带薪年假,https://www.zhipin.com/job_detail/b89e111ae19621b81nFz3t60EVBX.html
Python开发工程师,北京·海淀区·北太平庄,20-40K·14薪,3-5年本科,混沌学园,在线教育不需要融资100-499人,餐补，节日福利，五险一金，带薪年假，补充医疗保险，加班补助，定期体检,https://www.zhipin.com/job_detail/0a24f0307c6af50d1n143Ni9FFZY.html
Python算法工程师,北京·海淀区·上地,25-35K,3-5年本科,国科恒通,计算机软件未融资100-499人,员工旅游，定期体检，年终奖，节日福利，带薪年假，通讯补贴，五险一金,https://www.zhipin.com/job_detail/b2d3fbd755b1e9761n163tm8FVVW.html
Python开发工程师,北京·朝阳区·酒仙桥,10-13K,3-5年大专,博彦科技,计算机软件已上市10000人以上,带薪年假，免费班车，节日福利，年终奖，五险一金，定期体检,https://www.zhipin.com/job_detail/c61638d9f4bfa68b1XZz0t-6EVpY.html
Python开发工程师,北京·海淀区·双安,10-12K,1-3年大专,森艾电子,企业服务100-499人,,https://www.zhipin.com/job_detail/50b052038f78c6d11XZ60ti5GFFT.html
Python开发工程师,北京·海淀区·双安,10-12K,1-3年大专,森艾电子,企业服务100-499人,,https://www.zhipin.com/job_detail/50b052038f78c6d11XZ60ti5GFFT.html
Python开发工程师,北京·朝阳区·酒仙桥,10-13K,3-5年大专,博彦科技,计算机软件已上市10000人以上,带薪年假，免费班车，节日福利，年终奖，五险一金，定期体检,https://www.zhipin.com/job_detail/c61638d9f4bfa68b1XZz0t-6EVpY.html
Python开发工程师,北京·朝阳区·酒仙桥,20-40K·15薪,3-5年本科,奇虎360,互联网已上市1000-9999人,五险一金，股票期权，节日福利，零食下午茶，定期体检，餐补，年终奖，补充医疗保险，交通补助，带薪年假，包吃，免费班车,https://www.zhipin.com/job_detail/7a6ac1b4f6962ad61nx82d-7E1dZ.html
python工程师,北京·朝阳区·大望路,25-35K·17薪,经验不限本科,险峰长青投资咨询,基金未融资20-99人,餐补，定期体检，零食下午茶，员工旅游，通讯补贴，补充医疗保险，节日福利，五险一金，股票期权，年终奖，带薪年假,https://www.zhipin.com/job_detail/b89e111ae19621b81nFz3t60EVBX.html
python工程师（RPA）,北京,12-24K·13薪,1-3年本科,天职国际会计师事务所,财务/审计/税务不需要融资1000-9999人,年终奖，节日福利，餐补，定期体检，住房补贴，零食下午茶，通讯补贴，加班补助，员工旅游，带薪年假，交通补助，包吃，五险一金,https://www.zhipin.com/job_detail/57b02d83739dd59d1n192Ny6GFVW.html
